farmacia,p_activo,descripcion,precio,precio en uf
Cruz Verde,paracetamol,Geniol Adultos Paracetamol 500 mg 20 Comprimidos,990,0.03
Cruz Verde,paracetamol,Gesidol Paracetamol 1 gr 20 Comprimidos,6490,0.2
Cruz Verde,paracetamol,Tapsin Puro Sin Cafeina Paracetamol 500 mg 16 Comprimidos,1190,0.04
Cruz Verde,paracetamol,Geniol Infantil Paracetamol 100 mg/mL Gotas 15 mL,2130,0.06
Cruz Verde,paracetamol,Geniol Niños Paracetamol 160 mg 16 Comprimidos Masticables,1990,0.06
Cruz Verde,paracetamol,Geniol Caliente Día Paracetamol 400 mg Solución Oral 1 Sobre,595,0.02
Cruz Verde,paracetamol,Geniol Caliente Noche Paracetamol 400 mg Solución Oral 1 Sobre,595,0.02
Cruz Verde,paracetamol,Tapsin Niños Paracetamol 160 mg 16 Comprimidos Masticables,2290,0.07
Cruz Verde,paracetamol,Tapsin M Migraña Paracetamol 400 mg Cafeína 33 mg 10 Comprimidos,1990,0.06
Cruz Verde,paracetamol,Tapsin Plus Noche Paracetamol 650 mg Solución Oral 1 Sobre,697,0.02
Cruz Verde,paracetamol,Tapsin Plus Día Paracetamol 650 mg Solución Oral 1 Sobre,697,0.02
Cruz Verde,paracetamol,Predual Pamabron 25 mg 12 Comprimidos,1690,0.05
Cruz Verde,paracetamol,Tapsin Día-Noche Plus Paracetamol 400 mg 18 Comprimidos Recubiertos,3590,0.11
Cruz Verde,paracetamol,Tapsin Periodo Pamabrom 25 mg 12 Comprimidos,1479,0.04
Cruz Verde,paracetamol,Tapsin Forte Paracetamol 650 mg 20 Comprimidos Recubiertos,2490,0.08
Cruz Verde,paracetamol,Tapsin 1000 SC Paracetamol 1000 mg 20 Comprimidos Recubiertos,7490,0.23
Cruz Verde,paracetamol,"Doloten Tramadol 37,5 mg 30 Comprimidos Recubiertos",16628,0.5
Cruz Verde,paracetamol,Xumadol Paracetamol 1000 mg 20 Comprimidos,8826,0.27
Cruz Verde,paracetamol,Nastizol Compuesto Pseudoefedrina 30 mg/5 ml Jarabe 100 mL,8268,0.25
Cruz Verde,paracetamol,Nastizol Día-Noche Pseudoefedrina 60 mg 18 Comprimidos,3525,0.11
Cruz Verde,paracetamol,Nastizol Compuesto Pseudoefedrina 60 mg 10 Comprimidos,3711,0.11
Cruz Verde,paracetamol,Brevex Paracetamol 300 mg 20 Comprimidos Recubiertos,11151,0.34
Cruz Verde,paracetamol,"Zaledor-P Tramadol 37,5 mg 30 Comprimidos Recubiertos",12267,0.37
Cruz Verde,paracetamol,Desdol Clorzoxazona 300 mg 20 Comprimidos,7338,0.22
Cruz Verde,paracetamol,Paracetamol 500 mg 16 Comprimidos,865,0.03
Cruz Verde,paracetamol,Gesidol Infantil Paracetamol 120 mg / 5 mL Jarabe 100 mL,7990,0.24
Cruz Verde,paracetamol,Supracalm Paracetamol 1000 mg 20 Comprimidos Recubierto,10732,0.33
Cruz Verde,paracetamol,Nastul Compuesto Pseudoefedrina 30 mg Jarabe 100 mL,7524,0.23
Cruz Verde,paracetamol,"Zafin Tramadol 37,5 mg 28 Comprimidos Recubiertos",24691,0.75
